Student_ID,Gender,Age,School_Type,District,Family_Income,Parent_Education_Level,Chosen_Program,Applied_Institution,Application_Status,O_Level_Mathematics,O_Level_English,O_Level_Malay_Language,O_Level_Islamic_Religious_Knowledge,O_Level_Chemistry,O_Level_Biology,O_Level_Physics,O_Level_Combined_Science,O_Level_Commerce,O_Level_Economics,O_Level_Computer_Science,O_Level_Additional_Maths,A_Level_Mathematics,A_Level_English,A_Level_Chemistry,A_Level_Biology,A_Level_Physics,A_Level_Commerce,A_Level_Economics,A_Level_Computer_Science,O_Level_Credits,A_Level_Credits
STU1012,Female,20,International,Brunei-Muara,9372,Masters Degree,Engineering,IBTE,Accepted,C,B,U,D,U,U,C,U,D,A,A,E,,,,,,,,,5,0
STU1013,Male,20,Private,Tutong,8528,Degree,Business,Laksamana College of Business,Waiting List,D,U,U,D,U,C,B,A,A,C,C,D,,,,,,,,,6,0
STU1014,Male,18,International,Tutong,6530,Diploma,ICT,Politeknik Brunei,Waiting List,C,A,E,D,E,U,A,B,B,C,D,E,,B,,,C,,,,6,2
STU1015,Male,17,Public,Belait,2923,Diploma,Business,Laksamana College of Business,Rejected,D,B,U,E,C,E,A,E,A,C,B,U,,,,A,,,,A,6,2
STU1016,Male,19,International,Belait,5947,Postgraduate,Health Sciences,Universiti Brunei Darussalam (UBD),Rejected,B,D,C,C,A,U,E,D,U,D,E,D,,A,,,,,,,4,1
STU1017,Male,20,International,Belait,5874,Degree,ICT,Politeknik Brunei,Rejected,D,D,U,D,C,A,U,U,E,B,A,C,,,,,,,,,5,0
STU1018,Female,16,Private,Tutong,8005,Postgraduate,Engineering,IBTE,Accepted,B,C,A,C,E,C,E,B,A,D,A,A,,,,,,,,,9,0
STU1019,Male,20,International,Brunei-Muara,3942,Masters Degree,Business,Laksamana College of Business,Waiting List,B,E,C,D,C,B,D,B,C,U,C,E,,,,,D,,D,,7,0
STU1020,Male,16,International,Belait,1527,Postgraduate,Business,Laksamana College of Business,Rejected,B,C,E,D,E,C,C,U,A,B,D,D,,,,C,,,,,6,1
STU1021,Female,19,Public,Temburong,4952,Masters Degree,Business,Laksamana College of Business,Accepted,D,D,U,B,B,B,B,D,B,B,C,U,,,,,,,,,7,0
STU1022,Female,19,International,Tutong,8455,Masters Degree,ICT,Politeknik Brunei,Waiting List,E,U,B,U,C,B,E,U,D,C,A,C,,,,,,E,B,C,6,2
STU1023,Male,16,International,Temburong,5552,Masters Degree,Business,Laksamana College of Business,Rejected,A,E,B,A,C,C,U,E,B,B,A,A,A,,,,,,,E,9,1
STU1024,Female,19,International,Brunei-Muara,8020,Postgraduate,Engineering,IBTE,Rejected,A,A,C,E,B,D,E,B,C,U,U,U,,,,,,,,,6,0
STU1025,Female,20,Public,Belait,6882,Postgraduate,Business,Laksamana College of Business,Rejected,A,A,D,C,C,E,D,A,C,C,C,E,,,E,,,,,E,8,0
STU1026,Male,20,Public,Temburong,3458,Diploma,ICT,Politeknik Brunei,Rejected,A,E,D,E,A,D,A,C,D,A,B,D,,,,,,,,,6,0
STU1027,Male,20,International,Brunei-Muara,7162,Degree,Health Sciences,Universiti Brunei Darussalam (UBD),Rejected,D,B,B,E,B,U,C,E,A,C,D,D,,,A,U,,,,B,6,2
STU1028,Female,18,International,Tutong,6535,Diploma,Engineering,IBTE,Waiting List,E,U,A,D,D,B,C,E,E,D,A,C,E,,U,,,,,,5,0
STU1029,Female,18,Private,Tutong,7014,Degree,Engineering,IBTE,Waiting List,B,E,D,D,U,D,C,E,B,B,U,E,,,,,,,,,4,0
STU1030,Female,20,Private,Tutong,8165,Postgraduate,Engineering,IBTE,Waiting List,U,A,D,U,E,C,U,B,B,U,C,A,,,,,,,,,6,0
STU1031,Male,16,Public,Temburong,6675,Postgraduate,Business,Laksamana College of Business,Rejected,B,B,U,B,A,E,B,D,B,B,C,D,A,D,,,,,,,8,1
STU1032,Male,17,Private,Temburong,6442,Masters Degree,ICT,Politeknik Brunei,Accepted,C,B,A,U,E,D,C,E,B,E,A,U,,,U,,,,,,6,0
STU1033,Male,19,International,Tutong,5927,Postgraduate,ICT,Politeknik Brunei,Rejected,E,U,D,D,A,E,C,A,D,E,D,C,,,,,,D,,,4,0
STU1034,Male,19,Public,Tutong,3406,Postgraduate,ICT,Politeknik Brunei,Waiting List,E,A,U,B,E,C,D,B,A,E,U,A,,,,,,,,,6,0
STU1035,Male,19,Private,Brunei-Muara,8402,Postgraduate,ICT,Politeknik Brunei,Accepted,E,E,C,B,E,U,U,C,A,B,B,C,,,,,,,,,7,0
STU1036,Female,20,International,Belait,5725,Masters Degree,ICT,Politeknik Brunei,Rejected,C,B,D,A,U,E,B,E,A,U,A,D,,,U,C,,,,,6,1
STU1037,Female,20,Private,Tutong,1326,Masters Degree,Health Sciences,Universiti Brunei Darussalam (UBD),Rejected,E,E,U,U,D,C,D,C,C,B,B,A,,,,,,,,,6,0
STU1038,Female,16,Public,Belait,6314,Diploma,Health Sciences,Universiti Brunei Darussalam (UBD),Rejected,A,A,B,C,D,E,B,C,D,U,C,E,,,,,D,,,,7,0
STU1039,Male,19,International,Tutong,6751,Masters Degree,ICT,Politeknik Brunei,Waiting List,A,D,U,A,C,C,E,U,B,U,A,C,,,,,,B,,A,7,2
STU1040,Female,18,International,Tutong,1897,Postgraduate,Health Sciences,Universiti Brunei Darussalam (UBD),Waiting List,C,D,D,E,C,D,D,A,U,A,A,B,,,,,,U,,,6,0
STU1041,Female,18,Public,Tutong,9840,Postgraduate,ICT,Politeknik Brunei,Rejected,A,B,B,D,U,C,E,C,C,C,C,B,,,,,,,A,C,9,2
STU1042,Male,17,Public,Tutong,6744,Postgraduate,Engineering,IBTE,Waiting List,B,C,U,A,D,A,C,U,C,D,A,U,,,,C,B,,,,7,2
STU1043,Male,19,Private,Belait,4585,Diploma,Business,Laksamana College of Business,Rejected,A,U,B,A,D,C,U,B,D,C,E,U,,,,D,,,,,6,0
STU1044,Male,19,International,Brunei-Muara,8367,Diploma,ICT,Politeknik Brunei,Accepted,C,E,C,A,C,E,C,A,D,U,U,A,A,,B,,,,,,7,2
STU1045,Female,18,International,Tutong,4386,Masters Degree,Business,Laksamana College of Business,Rejected,B,A,U,A,D,C,D,E,B,C,E,U,,,,,,,,,6,0
STU1046,Male,19,Public,Belait,9178,Postgraduate,Business,Laksamana College of Business,Waiting List,A,E,E,D,B,E,D,C,C,C,C,E,A,,,,C,,,,6,2
STU1047,Male,19,Private,Temburong,3265,Masters Degree,Engineering,IBTE,Waiting List,B,A,B,A,C,A,D,C,A,D,D,A,A,,B,,,,,,9,2
STU1048,Female,17,Private,Temburong,1391,Degree,ICT,Politeknik Brunei,Waiting List,E,E,D,U,E,E,B,B,U,D,B,C,,B,,,B,,,A,4,3
STU1049,Male,19,Private,Brunei-Muara,3465,Postgraduate,Engineering,IBTE,Rejected,B,D,A,U,U,D,A,C,E,D,A,D,,A,,,,D,,E,5,1
STU1050,Female,19,Public,Brunei-Muara,3089,Diploma,Health Sciences,Universiti Brunei Darussalam (UBD),Rejected,U,D,E,B,A,E,U,B,C,A,D,B,,,,,,,,,6,0
STU1051,Male,16,Private,Temburong,2678,Degree,Health Sciences,Universiti Brunei Darussalam (UBD),Accepted,D,E,U,A,B,B,U,C,D,B,B,D,C,U,,,,,,,6,1
STU1052,Female,18,International,Temburong,9646,Postgraduate,ICT,Politeknik Brunei,Accepted,A,U,E,A,D,A,E,C,E,C,U,C,,,,,,,,U,6,0
STU1053,Male,19,International,Tutong,9152,Degree,Engineering,IBTE,Waiting List,C,U,U,C,C,B,U,C,A,D,A,A,,,D,E,,D,,,8,0
STU1054,Male,16,Private,Belait,9231,Diploma,ICT,Politeknik Brunei,Accepted,D,D,B,U,B,B,B,A,E,C,A,A,,,,,,,,,8,0
STU1055,Male,20,Private,Tutong,1176,Postgraduate,Business,Laksamana College of Business,Waiting List,B,A,C,B,B,D,D,E,E,C,E,A,,,,,,,,,7,0
STU1056,Male,20,Private,Temburong,4643,Masters Degree,Engineering,IBTE,Waiting List,A,C,U,C,D,D,B,E,B,U,B,B,E,,,,E,,,C,7,1
STU1057,Female,20,International,Belait,3171,Postgraduate,Business,Laksamana College of Business,Waiting List,B,A,U,B,A,U,E,A,C,E,U,C,,,A,,U,,,,7,1
STU1058,Male,18,International,Brunei-Muara,7391,Diploma,Business,Laksamana College of Business,Rejected,U,A,U,B,C,D,D,B,E,B,B,B,,,,,,,,,7,0
STU1059,Male,19,Public,Brunei-Muara,5461,Masters Degree,Business,Laksamana College of Business,Rejected,C,B,A,A,D,C,A,U,A,E,E,A,,,,,,,,,8,0
STU1060,Male,19,Public,Temburong,9903,Degree,Engineering,IBTE,Waiting List,U,A,A,D,A,B,E,D,U,E,A,E,,,,,,,,A,5,1
STU1061,Male,16,International,Temburong,9255,Degree,Engineering,IBTE,Accepted,A,D,U,D,B,U,B,B,C,D,E,U,U,U,,,,,,,5,0
STU1062,Female,20,Public,Temburong,1626,Diploma,Business,Laksamana College of Business,Waiting List,U,E,C,B,D,E,D,E,C,A,D,E,,,,,,,,,4,0
STU1063,Male,17,International,Temburong,9698,Masters Degree,Business,Laksamana College of Business,Rejected,A,B,B,D,U,A,C,A,D,U,A,E,,,,,,,,,7,0
STU1064,Female,20,International,Brunei-Muara,3572,Degree,ICT,Politeknik Brunei,Rejected,E,D,D,C,D,A,A,E,C,A,U,A,,,,,,,A,,6,1
STU1065,Female,17,Public,Temburong,1767,Degree,Health Sciences,Universiti Brunei Darussalam (UBD),Rejected,C,B,E,B,A,C,D,D,C,A,A,U,,,,,,,,,8,0
STU1066,Male,17,Public,Tutong,6133,Diploma,ICT,Politeknik Brunei,Waiting List,D,E,U,C,U,E,C,D,U,D,B,B,,,,,,,,,4,0
STU1067,Female,18,Public,Brunei-Muara,9477,Masters Degree,Engineering,IBTE,Rejected,B,E,C,C,C,D,D,E,E,A,A,A,,,,,,,,,7,0
STU1068,Male,17,International,Brunei-Muara,8962,Diploma,Business,Laksamana College of Business,Waiting List,B,C,D,D,U,U,U,B,C,B,U,D,E,,,U,,,,B,5,1
STU1069,Male,17,Private,Brunei-Muara,5080,Diploma,Engineering,IBTE,Accepted,D,A,B,D,B,B,C,B,B,B,U,A,,,,,,,,,9,0
STU1070,Female,20,Private,Tutong,9432,Postgraduate,Health Sciences,Universiti Brunei Darussalam (UBD),Waiting List,E,C,D,E,C,E,E,U,A,C,C,C,,,D,,,E,,,6,0
STU1071,Male,18,Public,Brunei-Muara,1744,Diploma,ICT,Politeknik Brunei,Waiting List,B,B,C,U,B,E,A,E,E,U,U,U,,,,,,,,,5,0
STU1072,Female,19,Public,Brunei-Muara,6973,Degree,Engineering,IBTE,Rejected,U,E,D,A,E,A,B,C,C,C,B,U,,,,,,,,,7,0
STU1073,Male,18,International,Belait,3872,Degree,Business,Laksamana College of Business,Waiting List,A,B,B,B,C,C,D,D,C,C,A,A,,,,C,,,U,,10,1
STU1074,Male,19,International,Belait,7302,Degree,Business,Laksamana College of Business,Waiting List,A,A,U,E,E,E,A,D,D,C,E,C,,,E,,,,,,5,0
STU1075,Female,17,Public,Belait,1346,Postgraduate,ICT,Politeknik Brunei,Waiting List,E,D,E,A,U,D,A,B,A,C,B,B,,,,,,,,,7,0
STU1076,Female,20,International,Tutong,7132,Postgraduate,ICT,Politeknik Brunei,Rejected,D,E,D,U,C,U,D,D,U,B,A,A,,,,,,,,,4,0
STU1077,Male,19,Public,Tutong,2174,Masters Degree,Business,Laksamana College of Business,Accepted,C,U,C,A,C,E,D,B,E,C,D,B,,,,,,A,,U,7,1
STU1078,Male,18,Public,Brunei-Muara,5764,Degree,Business,Laksamana College of Business,Waiting List,C,U,B,U,B,B,A,A,E,U,E,U,,,,,,,,,6,0
STU1079,Male,19,Public,Temburong,7451,Masters Degree,Engineering,IBTE,Rejected,B,E,E,C,D,D,U,A,B,B,U,E,,,,,,,,,5,0
STU1080,Female,17,Public,Tutong,5795,Postgraduate,ICT,Politeknik Brunei,Waiting List,B,E,E,U,A,E,E,U,D,A,D,C,,,,,,,,,4,0
STU1081,Female,18,International,Temburong,8867,Diploma,Health Sciences,Universiti Brunei Darussalam (UBD),Waiting List,A,U,B,A,D,B,E,B,B,C,A,B,,,,,,,,,9,0
STU1082,Female,20,International,Tutong,7132,Masters Degree,ICT,Politeknik Brunei,Rejected,D,C,C,C,E,D,U,D,U,A,B,A,,,,,,,,,6,0
STU1083,Male,19,International,Temburong,2271,Masters Degree,Health Sciences,Universiti Brunei Darussalam (UBD),Accepted,C,D,A,D,A,D,U,C,A,U,A,D,,,A,,E,,,,6,1
STU1084,Female,18,Private,Brunei-Muara,2172,Diploma,Business,Laksamana College of Business,Rejected,D,A,A,U,C,C,E,B,B,C,C,B,,C,,,,,,,9,1
STU1085,Female,20,Private,Temburong,1294,Degree,Health Sciences,Universiti Brunei Darussalam (UBD),Rejected,E,A,E,U,U,A,A,U,C,E,C,U,,,,,,,,,5,0
STU1086,Female,20,Private,Brunei-Muara,9082,Degree,Engineering,IBTE,Waiting List,A,D,C,A,B,U,C,C,A,E,B,D,,,,,,,,,8,0
STU1087,Male,18,Public,Tutong,4750,Diploma,Business,Laksamana College of Business,Rejected,D,B,U,D,B,E,E,C,U,A,D,E,D,,,,,U,,,4,0
STU1088,Male,17,Private,Belait,4429,Diploma,ICT,Politeknik Brunei,Rejected,U,E,C,A,C,D,U,D,A,D,C,A,,,,,,,,,6,0
STU1089,Male,18,International,Brunei-Muara,1959,Diploma,Business,Laksamana College of Business,Waiting List,B,A,A,B,U,E,C,U,E,C,U,U,,,,,,,,,6,0
STU1090,Female,20,International,Belait,4778,Masters Degree,Business,Laksamana College of Business,Accepted,A,U,E,A,C,C,U,E,B,E,A,C,,,,,,,,,7,0
STU1091,Female,20,Public,Temburong,8737,Masters Degree,Engineering,IBTE,Rejected,C,D,E,C,B,U,B,U,A,E,C,A,,,,,,,,,7,0
STU1092,Female,20,International,Tutong,4480,Postgraduate,Health Sciences,Universiti Brunei Darussalam (UBD),Accepted,U,C,A,E,A,U,D,B,C,D,C,A,,,,,,,,,7,0
STU1093,Female,20,International,Tutong,6486,Postgraduate,Health Sciences,Universiti Brunei Darussalam (UBD),Waiting List,B,B,C,E,A,A,U,E,A,C,D,E,,,,,,,,,7,0
STU1094,Female,17,International,Brunei-Muara,7748,Postgraduate,Health Sciences,Universiti Brunei Darussalam (UBD),Waiting List,E,E,D,C,D,U,B,C,U,A,B,C,,,,,,,,,6,0
STU1095,Male,18,Public,Belait,4882,Degree,ICT,Politeknik Brunei,Rejected,B,B,B,A,A,E,E,A,B,D,E,C,,,,,,,,,8,0
STU1096,Male,18,International,Belait,9745,Postgraduate,Health Sciences,Universiti Brunei Darussalam (UBD),Accepted,C,B,C,U,B,C,C,C,B,U,A,D,,,,,,,,,9,0
STU1097,Male,16,International,Temburong,5752,Postgraduate,ICT,Politeknik Brunei,Waiting List,D,E,A,B,A,E,A,B,D,D,U,D,,,B,,,C,,,5,2
STU1098,Male,18,Private,Temburong,7078,Masters Degree,ICT,Politeknik Brunei,Accepted,U,D,B,C,C,B,E,E,U,D,B,A,,,,,,,,,6,0
STU1099,Male,17,Public,Temburong,5864,Postgraduate,Business,Laksamana College of Business,Accepted,B,U,A,C,A,C,U,B,B,A,U,E,,,,B,D,C,,,8,2
STU1100,Female,16,Public,Belait,7540,Masters Degree,Business,Laksamana College of Business,Rejected,D,B,U,E,E,D,U,A,B,D,U,A,,,,,,,C,,4,1
STU1101,Female,17,Private,Temburong,8090,Degree,ICT,Politeknik Brunei,Waiting List,A,E,C,D,A,B,B,E,U,C,D,E,,,C,,,C,,E,6,2
STU1102,Male,19,International,Belait,6611,Postgraduate,Business,Laksamana College of Business,Rejected,B,D,C,A,C,E,E,B,C,D,U,B,,,,,,,,,7,0
STU1103,Female,19,International,Brunei-Muara,6007,Diploma,Business,Laksamana College of Business,Rejected,C,C,E,B,D,A,A,C,C,A,A,U,,D,,,E,,,,9,0
STU1104,Female,19,Private,Brunei-Muara,8732,Diploma,Business,Laksamana College of Business,Waiting List,C,D,E,C,C,B,B,D,C,U,U,E,,,,,,,,,6,0
STU1105,Female,20,Private,Belait,4336,Degree,ICT,Politeknik Brunei,Waiting List,E,U,B,B,E,E,A,B,C,D,U,C,,,,,D,,D,A,6,1
STU1106,Male,20,Public,Tutong,6102,Masters Degree,Health Sciences,Universiti Brunei Darussalam (UBD),Rejected,D,A,B,D,U,D,C,A,A,A,C,U,,,,,,,,,7,0
STU1107,Male,19,International,Tutong,9391,Masters Degree,Business,Laksamana College of Business,Waiting List,C,E,U,C,U,D,A,A,C,A,C,U,,,,,,,,,7,0
STU1108,Female,16,Public,Tutong,3573,Diploma,Health Sciences,Universiti Brunei Darussalam (UBD),Accepted,E,E,B,E,B,E,E,U,E,C,A,A,,,,,D,,,,5,0
STU1109,Female,17,Private,Belait,1303,Masters Degree,Health Sciences,Universiti Brunei Darussalam (UBD),Accepted,A,A,E,C,U,D,D,C,E,B,D,A,,,,,,B,D,,6,1
STU1110,Female,17,Public,Brunei-Muara,2353,Postgraduate,Business,Laksamana College of Business,Waiting List,B,E,B,A,E,D,A,C,A,D,D,C,,,D,,,,,,7,0
STU1111,Male,20,Private,Tutong,3388,Postgraduate,Health Sciences,Universiti Brunei Darussalam (UBD),Rejected,U,D,E,U,U,D,B,A,B,U,D,A,,,,,,,,,4,0
STU1112,Female,16,International,Belait,5531,Masters Degree,Business,Laksamana College of Business,Waiting List,U,E,D,E,E,C,C,B,B,A,C,E,A,,C,,,,A,,6,3
STU1113,Female,18,Private,Temburong,9327,Degree,Health Sciences,Universiti Brunei Darussalam (UBD),Waiting List,C,U,A,A,C,B,A,A,C,C,U,U,,,,,,,,,9,0
STU1114,Female,19,Private,Brunei-Muara,6985,Postgraduate,ICT,Politeknik Brunei,Rejected,D,C,C,D,A,U,D,A,U,C,A,D,,,U,,,U,,D,6,0
STU1115,Female,19,Public,Temburong,2256,Masters Degree,Health Sciences,Universiti Brunei Darussalam (UBD),Rejected,E,B,A,B,B,U,D,U,A,C,E,C,,,,,,,,,7,0
STU1116,Male,19,International,Brunei-Muara,7234,Masters Degree,ICT,Politeknik Brunei,Accepted,A,B,U,E,B,D,B,E,U,E,E,E,,,,,,,,,4,0
STU1117,Female,18,Public,Tutong,7960,Diploma,Business,Laksamana College of Business,Waiting List,U,E,D,A,B,C,A,U,A,E,C,U,,D,,,A,,,,6,1
STU1118,Male,17,Public,Belait,7477,Masters Degree,Engineering,IBTE,Accepted,B,U,B,E,B,D,E,U,C,D,D,A,,,,,,,,,5,0
STU1119,Male,16,Public,Tutong,1595,Diploma,Health Sciences,Universiti Brunei Darussalam (UBD),Waiting List,A,D,B,E,D,E,A,U,D,A,E,C,,,,,,,,,5,0
STU1120,Female,18,Private,Temburong,6215,Diploma,Health Sciences,Universiti Brunei Darussalam (UBD),Rejected,U,E,E,C,U,A,U,C,C,B,A,U,,,,,,,,U,6,0
STU1121,Male,18,International,Tutong,7873,Postgraduate,Business,Laksamana College of Business,Accepted,C,B,U,B,A,D,D,B,C,U,E,C,,,,,,,,,7,0
STU1122,Male,18,Private,Belait,3696,Degree,Business,Laksamana College of Business,Waiting List,C,U,B,D,E,E,E,B,D,E,C,U,,,,,,,,,4,0
STU1123,Male,16,Public,Tutong,8617,Degree,Engineering,IBTE,Rejected,D,B,D,C,B,D,A,C,C,U,E,A,,,,,,,,,7,0
STU1124,Male,18,Private,Tutong,4556,Diploma,Engineering,IBTE,Accepted,B,D,U,D,B,B,A,B,D,B,A,D,,A,,,,,A,,7,2
STU1125,Male,20,Public,Brunei-Muara,4438,Diploma,Health Sciences,Universiti Brunei Darussalam (UBD),Waiting List,U,A,D,U,E,U,A,U,E,E,A,C,,,,,,,,,4,0
STU1126,Male,18,Private,Belait,3618,Postgraduate,Engineering,IBTE,Rejected,D,C,D,C,B,U,D,C,A,D,A,E,,,,,,,,,6,0
STU1127,Female,19,Private,Tutong,6246,Masters Degree,Business,Laksamana College of Business,Accepted,C,B,D,B,U,E,B,U,E,D,E,U,,A,,,,A,,,4,2
STU1128,Female,16,International,Brunei-Muara,5862,Masters Degree,Business,Laksamana College of Business,Accepted,A,A,B,C,C,U,A,U,C,E,A,C,,,,,,,,,9,0
STU1129,Female,20,International,Temburong,2362,Masters Degree,Health Sciences,Universiti Brunei Darussalam (UBD),Accepted,D,E,E,A,C,C,B,D,A,B,C,C,E,,,U,,,,U,8,0
STU1130,Female,19,Public,Belait,7333,Diploma,Engineering,IBTE,Accepted,C,A,B,U,B,E,A,A,B,B,E,B,,,,,D,,,,9,0
STU1131,Male,19,International,Tutong,4974,Postgraduate,Business,Laksamana College of Business,Rejected,B,C,A,C,A,E,C,C,C,A,C,E,,,E,,,,,,10,0
STU1132,Male,16,International,Brunei-Muara,4120,Diploma,Business,Laksamana College of Business,Accepted,A,B,C,D,E,E,U,A,B,D,A,E,,,,,,,,,6,0
STU1133,Male,17,International,Tutong,1608,Degree,Engineering,IBTE,Rejected,A,B,C,B,C,A,D,B,C,U,A,C,,U,,,,C,,C,10,2
STU1134,Female,20,Private,Tutong,9355,Degree,Business,Laksamana College of Business,Accepted,D,E,A,B,U,U,A,U,A,A,B,A,U,,B,,,,,,7,1
STU1135,Female,20,Public,Tutong,2098,Diploma,ICT,Politeknik Brunei,Accepted,A,B,A,D,A,B,U,U,U,U,D,C,,,,,,,,B,6,1
STU1136,Female,17,Public,Tutong,6681,Diploma,Health Sciences,Universiti Brunei Darussalam (UBD),Rejected,D,A,D,D,B,D,E,E,C,U,C,C,,,,,,,,,5,0
STU1137,Male,16,Public,Temburong,8910,Postgraduate,Health Sciences,Universiti Brunei Darussalam (UBD),Rejected,E,U,U,U,C,B,B,E,D,A,U,E,,,,,A,A,,,4,2
STU1138,Female,17,Private,Brunei-Muara,8454,Postgraduate,Business,Laksamana College of Business,Accepted,E,E,E,E,U,D,E,B,C,E,C,A,D,,,D,A,,,,4,1
STU1139,Male,20,Private,Belait,1760,Postgraduate,Engineering,IBTE,Waiting List,D,E,C,B,U,E,U,A,D,A,B,E,,,,,,,,,5,0
STU1140,Male,19,Public,Tutong,4914,Postgraduate,ICT,Politeknik Brunei,Rejected,C,A,E,A,D,D,U,U,D,D,A,A,,,,,E,,,,5,0
STU1141,Male,17,Private,Belait,4598,Degree,ICT,Politeknik Brunei,Accepted,A,B,B,D,U,E,E,A,E,U,A,C,,,,,D,,D,,6,0
STU1142,Male,18,Private,Tutong,1364,Masters Degree,ICT,Politeknik Brunei,Waiting List,E,D,U,C,U,A,A,D,E,U,C,A,,,,,,,,,5,0
STU1143,Female,16,International,Brunei-Muara,7780,Masters Degree,Engineering,IBTE,Waiting List,C,A,A,A,A,U,U,C,A,C,U,U,,,,,,,,,8,0
STU1144,Female,18,Public,Belait,1881,Degree,ICT,Politeknik Brunei,Waiting List,A,U,D,B,B,D,D,B,B,B,A,E,,,,,,B,,,7,1
STU1145,Male,17,Private,Temburong,1685,Degree,Health Sciences,Universiti Brunei Darussalam (UBD),Waiting List,A,A,U,B,D,U,B,D,U,A,C,D,,,,,,D,,D,6,0
STU1146,Male,18,International,Tutong,2068,Postgraduate,Business,Laksamana College of Business,Accepted,U,U,C,U,D,B,C,A,C,U,A,C,,,,,,,,,7,0
STU1147,Male,19,Public,Tutong,1153,Postgraduate,Health Sciences,Universiti Brunei Darussalam (UBD),Rejected,B,A,U,D,A,C,C,E,U,D,D,C,,,,,,,,,6,0
STU1148,Female,19,International,Tutong,1658,Degree,ICT,Politeknik Brunei,Rejected,B,C,A,A,E,E,C,B,E,C,C,E,,,E,,,,,A,8,1
STU1149,Female,17,Public,Temburong,9269,Masters Degree,Engineering,IBTE,Rejected,D,B,E,A,U,U,U,D,B,E,E,C,,,U,,U,,,,4,0
STU1150,Male,19,Private,Tutong,3412,Masters Degree,Business,Laksamana College of Business,Waiting List,D,U,A,E,B,C,B,A,U,E,B,C,,E,,,U,,,U,7,0
STU1151,Female,16,Public,Tutong,3211,Degree,Business,Laksamana College of Business,Rejected,C,E,A,U,B,D,E,D,U,C,C,U,,C,A,,,,U,,5,2
STU1152,Female,20,International,Tutong,8705,Diploma,ICT,Politeknik Brunei,Rejected,A,C,D,E,A,A,A,A,B,D,U,E,,,A,,,,,U,7,1
STU1153,Male,16,Private,Tutong,5978,Masters Degree,Health Sciences,Universiti Brunei Darussalam (UBD),Rejected,B,E,B,D,A,U,A,D,C,C,D,D,,E,D,,,,,,6,0
STU1154,Male,18,International,Belait,9178,Degree,Engineering,IBTE,Rejected,E,A,U,C,D,U,D,B,A,U,A,B,,,,,,,,,6,0
STU1155,Female,20,Private,Belait,9545,Masters Degree,Business,Laksamana College of Business,Rejected,D,A,C,D,B,D,B,D,D,E,U,B,,,B,B,,,,,5,2
STU1156,Male,19,International,Temburong,9604,Degree,ICT,Politeknik Brunei,Waiting List,B,D,D,E,U,A,D,C,E,D,C,C,,,,,,,,,5,0
STU1157,Male,17,Public,Tutong,9101,Masters Degree,Health Sciences,Universiti Brunei Darussalam (UBD),Accepted,U,U,C,E,U,U,A,E,U,A,U,C,,A,,E,,,,U,4,1
