Student_ID,Age,Gender,School_Type,District,O_Level_Results,A_Level_Results,O_Level_Credits,A_Level_Credits,Preferred_Program,Preferred_Institution,Enrolled,Program,Success_Level,Previous_Achievements,Extra_Curricular,Interest_Areas,Recommended_Program,Household_Income,Parental_Education,Attendance,Study_Hours
STU1012,21,Female,Public,Brunei-Muara,4.44,8.94,8,4,IT,Micronet International College,1,Engineering,Low,Science Fair,1,Arts,IT,3049,Degree,97.26,14
STU1013,18,Female,Public,Temburong,4.89,8,8,3,Health Sciences,Politeknik Brunei,0,IT,High,Debate,0,Business,Education,1764,Degree,91.21,12
STU1014,17,Female,Public,Tutong,3.78,7.23,7,3,Education,Micronet International College,1,Health Sciences,Low,Arts,0,Technology,Education,4613,Degree,95.73,6
STU1015,19,Female,Public,Tutong,6.34,6.96,7,1,Engineering,International Graduate Studies College,0,Health Sciences,Medium,Arts,0,Science,Business,1833,High School,81.42,6
STU1016,18,Male,Public,Belait,8.36,7.96,7,4,Health Sciences,International Graduate Studies College,0,IT,Low,None,0,Science,Education,1190,Degree,78.83,7
STU1017,21,Female,Public,Temburong,5.08,4.17,5,1,IT,International Graduate Studies College,0,Engineering,Medium,None,1,Science,Health Sciences,2828,High School,98.94,18
STU1018,17,Female,Private,Tutong,2.43,5.68,5,2,Health Sciences,International Graduate Studies College,0,Health Sciences,Low,Sports,0,Arts,Engineering,3026,Masters,91.44,5
STU1019,18,Male,Private,Brunei-Muara,8.45,3.45,9,1,IT,International Graduate Studies College,1,Business,Low,Science Fair,0,Arts,Health Sciences,1095,Diploma,87.3,8
STU1020,19,Female,Public,Temburong,6.54,8.74,4,1,Business,Politeknik Brunei,1,Health Sciences,High,None,1,Humanities,Health Sciences,4670,Diploma,79.71,11
STU1021,18,Female,Private,Tutong,2.97,8,4,1,Business,International Graduate Studies College,1,IT,High,Sports,0,Humanities,Business,4736,Diploma,84.54,12
STU1022,17,Female,Public,Temburong,6.67,6.58,8,4,Education,Micronet International College,1,Education,High,Arts,1,Technology,Education,2898,Diploma,86.39,5
STU1023,21,Female,Private,Temburong,4.86,8.92,7,1,Engineering,International Graduate Studies College,0,Engineering,High,Sports,1,Business,Business,1715,Degree,82.48,11
STU1024,21,Male,Private,Tutong,7.6,8.33,9,2,Health Sciences,Politeknik Brunei,0,Education,Low,None,1,Humanities,Education,1963,High School,77.94,13
STU1025,21,Female,Public,Temburong,7.53,8.31,5,2,Health Sciences,Micronet International College,1,Health Sciences,High,None,1,Business,Business,2192,Masters,80.93,15
STU1026,17,Female,Public,Belait,3.74,5.14,8,3,Education,Universiti Brunei Darussalam,0,IT,High,None,1,Science,Health Sciences,1052,High School,79.09,15
STU1027,18,Male,Private,Temburong,2.39,7.49,5,2,Health Sciences,International Graduate Studies College,1,Business,Low,Debate,0,Arts,Education,1422,Degree,76.64,11
STU1028,19,Male,Public,Temburong,8.13,5.17,8,1,Engineering,International Graduate Studies College,0,IT,Medium,Debate,0,Science,IT,1352,Degree,79.31,18
STU1029,20,Male,Private,Brunei-Muara,3.17,7.99,4,2,Engineering,Universiti Brunei Darussalam,1,Engineering,Medium,Sports,0,Business,Health Sciences,2666,High School,87.48,13
STU1030,19,Female,Private,Temburong,4.56,6.56,5,3,Education,Politeknik Brunei,0,Health Sciences,Medium,Sports,0,Humanities,Education,4992,Diploma,90.57,7
STU1031,19,Male,Public,Belait,3.19,7.84,4,4,Health Sciences,International Graduate Studies College,1,Education,High,None,0,Technology,Education,2422,High School,96.97,16
STU1032,18,Female,Private,Belait,6.49,8.48,9,2,Education,Micronet International College,1,Business,High,Science Fair,0,Business,IT,2327,Masters,92.9,13
STU1033,21,Female,Public,Temburong,4.47,4.34,5,1,Engineering,Micronet International College,1,IT,High,Sports,1,Arts,Education,2252,Degree,94.83,18
STU1034,20,Male,Public,Brunei-Muara,8.09,8.39,4,4,IT,Universiti Brunei Darussalam,0,Business,Medium,None,0,Technology,Business,2402,High School,83.09,13
STU1035,17,Female,Private,Belait,2.2,7.63,6,2,IT,Politeknik Brunei,0,Business,Medium,None,0,Technology,Education,2573,Masters,94.65,13
STU1036,18,Male,Private,Tutong,3.89,8.71,9,1,Engineering,Politeknik Brunei,0,IT,High,Debate,0,Humanities,Engineering,4338,Degree,92.89,16
STU1037,18,Female,Public,Tutong,8.21,2.47,9,1,IT,Micronet International College,1,IT,Low,Science Fair,0,Humanities,Education,1296,Degree,80.56,12
STU1038,21,Male,Private,Temburong,3.8,4.35,5,4,Education,Micronet International College,0,Business,Medium,Debate,1,Technology,Education,4186,Degree,85.46,5
STU1039,20,Male,Public,Belait,5.27,6.74,4,2,Education,Universiti Brunei Darussalam,1,IT,Medium,None,0,Business,IT,3323,High School,90.44,8
STU1040,17,Female,Public,Temburong,3.62,5.54,4,4,IT,Universiti Brunei Darussalam,1,Education,Medium,Sports,1,Science,Health Sciences,1166,High School,80.98,7
STU1041,18,Female,Public,Temburong,2.44,7.76,9,4,Business,Universiti Brunei Darussalam,1,Education,Medium,Arts,1,Technology,Engineering,1479,High School,89.66,14
STU1042,17,Male,Public,Brunei-Muara,6.12,6.07,9,3,Business,Politeknik Brunei,0,Engineering,Low,Sports,1,Business,Engineering,4701,Masters,94.33,13
STU1043,19,Female,Public,Tutong,6.98,2.61,5,4,Business,Universiti Brunei Darussalam,1,Health Sciences,Low,Arts,1,Humanities,Engineering,1210,High School,86.87,19
STU1044,21,Male,Private,Temburong,5.85,2.94,9,1,Health Sciences,Micronet International College,0,IT,Low,None,0,Technology,Health Sciences,4672,Degree,87.19,13
STU1045,20,Female,Public,Belait,3.01,8.61,7,4,Engineering,Universiti Brunei Darussalam,1,Education,Medium,Arts,1,Technology,Health Sciences,2961,Degree,85.77,15
STU1046,19,Male,Public,Temburong,2.1,2.69,6,4,Education,Universiti Brunei Darussalam,1,Business,Low,Sports,0,Arts,Engineering,1599,Diploma,87.25,12
STU1047,17,Female,Public,Belait,8.66,6.69,6,1,Engineering,Universiti Brunei Darussalam,1,Business,High,None,0,Arts,IT,4228,Diploma,91.06,16
STU1048,20,Male,Private,Belait,7.08,2.16,7,2,Education,Micronet International College,1,Health Sciences,Medium,Sports,1,Science,Business,3662,Degree,85.72,9
STU1049,17,Male,Public,Brunei-Muara,3.25,8.36,9,2,Education,Micronet International College,1,Business,Medium,Sports,1,Technology,Health Sciences,3032,High School,81.88,11
STU1050,19,Female,Private,Brunei-Muara,3.29,3.13,9,1,Health Sciences,International Graduate Studies College,0,Health Sciences,Low,Debate,0,Technology,Health Sciences,2610,Diploma,91.61,11
STU1051,21,Male,Public,Brunei-Muara,7.19,6.32,8,4,Business,Micronet International College,1,IT,High,Debate,0,Humanities,Engineering,4939,Masters,94.78,9
STU1052,18,Female,Private,Temburong,2.68,3.24,9,4,Health Sciences,Politeknik Brunei,0,Business,Medium,Sports,1,Arts,Business,4001,High School,88.75,5
STU1053,19,Male,Private,Belait,5.86,7.34,4,2,IT,Micronet International College,1,Health Sciences,Low,None,1,Humanities,Engineering,3596,Masters,79,9
STU1054,18,Male,Public,Tutong,4.18,7.81,4,3,Engineering,Micronet International College,1,Business,Medium,Arts,1,Humanities,Engineering,2402,Masters,77.06,17
STU1055,17,Female,Private,Tutong,2.33,6.95,5,3,Engineering,Universiti Brunei Darussalam,1,Engineering,Low,Science Fair,0,Business,Business,4339,High School,87.89,15
STU1056,18,Female,Private,Tutong,5.25,3.98,7,3,Business,Micronet International College,0,IT,High,Science Fair,1,Science,IT,2163,Diploma,93.98,9
STU1057,19,Female,Private,Belait,2.77,5.61,7,1,Health Sciences,Micronet International College,1,IT,High,Debate,1,Humanities,Health Sciences,3987,Diploma,84.19,9
STU1058,19,Female,Private,Tutong,5.3,7,9,1,Education,Politeknik Brunei,0,IT,High,Debate,1,Science,Business,1515,Diploma,77,10
STU1059,17,Female,Public,Brunei-Muara,4.02,7.86,7,2,Engineering,Politeknik Brunei,0,Education,High,None,0,Technology,Engineering,2303,Masters,95.89,16
STU1060,20,Female,Public,Belait,8.03,6.35,6,1,Education,Universiti Brunei Darussalam,0,Engineering,Medium,Debate,1,Science,IT,3839,Diploma,94.1,6
STU1061,18,Female,Private,Tutong,7.49,6.46,9,2,Engineering,Micronet International College,0,Engineering,High,Debate,1,Technology,Engineering,2879,High School,95.85,18
STU1062,21,Male,Public,Belait,5.53,5.86,7,2,Education,Universiti Brunei Darussalam,1,Engineering,Low,Sports,1,Technology,Business,3734,Masters,90.62,18
STU1063,17,Male,Public,Tutong,6.22,8.95,6,2,Business,Micronet International College,0,IT,High,Arts,1,Business,Engineering,3850,Degree,97.3,12
STU1064,20,Female,Private,Belait,2.08,2.88,4,2,Health Sciences,Politeknik Brunei,1,Health Sciences,High,Debate,1,Humanities,Engineering,1436,Diploma,86.22,9
STU1065,19,Male,Public,Belait,4.09,3.89,6,3,Engineering,Politeknik Brunei,0,Engineering,Medium,Sports,1,Technology,Business,1888,Diploma,95.71,19
STU1066,19,Male,Private,Temburong,4.45,3.76,9,1,Business,International Graduate Studies College,1,Education,Low,None,0,Business,Business,3071,High School,96.72,5
STU1067,20,Female,Private,Tutong,6.55,6.76,4,2,Health Sciences,International Graduate Studies College,0,Health Sciences,Low,Science Fair,1,Technology,IT,1977,Diploma,77.25,13
STU1068,17,Female,Private,Temburong,2.6,7.54,8,3,Education,International Graduate Studies College,0,Business,High,Debate,0,Arts,Engineering,4063,Degree,83.24,6
STU1069,20,Female,Private,Belait,8.14,5.8,9,3,Engineering,Universiti Brunei Darussalam,0,Engineering,Low,Debate,1,Humanities,Engineering,3605,Degree,77.97,15
STU1070,17,Female,Public,Temburong,4.83,5.04,7,3,Engineering,International Graduate Studies College,0,Education,Low,None,0,Humanities,Education,3194,Masters,86.55,5
STU1071,19,Male,Public,Temburong,8.74,5.27,4,4,Engineering,International Graduate Studies College,1,Education,Low,None,0,Humanities,IT,3303,Diploma,90.71,9
STU1072,20,Male,Public,Brunei-Muara,8.6,4.84,8,4,Health Sciences,International Graduate Studies College,1,Health Sciences,Low,Debate,1,Business,Business,3015,Diploma,85.75,7
STU1073,17,Female,Private,Tutong,3.18,8.73,9,3,Health Sciences,Politeknik Brunei,1,IT,Medium,Sports,0,Humanities,Health Sciences,3852,Diploma,79.61,13
STU1074,19,Male,Public,Brunei-Muara,5.24,8.68,9,3,Engineering,Universiti Brunei Darussalam,1,Engineering,High,Arts,0,Humanities,Education,4516,Degree,84.99,19
STU1075,19,Female,Public,Brunei-Muara,4.08,8.96,5,2,Health Sciences,Micronet International College,1,Health Sciences,Low,Debate,1,Humanities,Education,2437,Diploma,82.65,15
STU1076,21,Male,Public,Temburong,7.75,5.03,7,3,Business,Politeknik Brunei,0,Education,Medium,Sports,1,Technology,Engineering,1501,Degree,79.11,15
STU1077,17,Female,Private,Temburong,5.87,3.52,6,4,Engineering,Universiti Brunei Darussalam,0,Business,High,Science Fair,0,Arts,Engineering,3825,Diploma,82.71,7
STU1078,19,Male,Private,Tutong,7.39,8.13,4,2,Business,Universiti Brunei Darussalam,0,IT,Medium,Arts,0,Business,IT,1989,High School,83.67,5
STU1079,18,Female,Public,Brunei-Muara,5.01,3.2,8,3,Business,Politeknik Brunei,1,Health Sciences,Low,Sports,0,Arts,IT,2961,Degree,82.33,17
STU1080,19,Female,Public,Brunei-Muara,2.06,3.55,8,3,Business,International Graduate Studies College,1,Education,Medium,Arts,0,Humanities,Business,1796,High School,82.62,17
STU1081,21,Male,Private,Temburong,2.65,4.65,5,2,Education,Micronet International College,1,Business,High,None,1,Arts,Engineering,1163,Degree,96.21,19
STU1082,20,Male,Public,Tutong,8.76,5.68,7,4,IT,Politeknik Brunei,1,Education,High,Sports,1,Science,Engineering,1557,Degree,85.62,18
STU1083,21,Female,Public,Brunei-Muara,2.03,3.36,4,3,Health Sciences,Universiti Brunei Darussalam,0,Health Sciences,Low,Science Fair,0,Science,Education,3899,Masters,94.84,15
STU1084,19,Male,Private,Temburong,4.24,2.12,6,3,IT,International Graduate Studies College,0,Engineering,Low,Science Fair,1,Technology,Education,1604,Degree,96.15,8
STU1085,18,Male,Private,Belait,6.5,4.28,5,4,Engineering,Universiti Brunei Darussalam,0,Education,Low,None,1,Arts,Engineering,2967,Masters,99.29,18
STU1086,20,Female,Public,Belait,7.45,8.6,6,2,IT,Politeknik Brunei,0,Engineering,Medium,None,0,Technology,IT,4644,Masters,76.84,14
STU1087,21,Female,Private,Brunei-Muara,5.89,4.64,9,4,Business,International Graduate Studies College,0,IT,High,Science Fair,1,Arts,Health Sciences,1857,High School,99.28,5
STU1088,20,Female,Public,Temburong,7.16,5.25,8,3,Engineering,Micronet International College,1,Engineering,High,Arts,1,Science,Health Sciences,1827,Masters,84.7,9
STU1089,21,Male,Public,Brunei-Muara,7.18,8.9,5,4,Engineering,Universiti Brunei Darussalam,1,Health Sciences,Low,Science Fair,1,Business,IT,3841,Degree,76.58,8
STU1090,18,Male,Private,Belait,5.82,7.16,9,2,Engineering,Politeknik Brunei,1,IT,Low,None,1,Business,Engineering,2063,Degree,97.42,5
STU1091,17,Female,Public,Tutong,6.05,3.41,6,3,IT,International Graduate Studies College,1,Engineering,Medium,Science Fair,0,Technology,Engineering,3648,Diploma,81.13,8
STU1092,17,Male,Private,Belait,8.64,2.51,5,3,Engineering,Politeknik Brunei,0,Business,High,Science Fair,0,Business,IT,2606,Degree,80.24,7
STU1093,21,Male,Public,Temburong,6.67,8.31,4,1,IT,Micronet International College,1,Health Sciences,Medium,Debate,0,Science,Education,2636,Masters,82.49,14
STU1094,18,Female,Private,Temburong,2.68,4.76,6,2,Business,Micronet International College,1,Education,Low,Debate,0,Science,Education,1947,Degree,79.9,7
STU1095,17,Male,Private,Temburong,5.96,4.57,4,2,Education,International Graduate Studies College,0,Engineering,Low,Arts,1,Technology,Education,2734,High School,91.27,8
STU1096,18,Female,Public,Brunei-Muara,7.06,2.43,7,1,Health Sciences,Universiti Brunei Darussalam,0,IT,High,Science Fair,1,Business,Education,1506,Masters,91.37,6
STU1097,20,Male,Private,Temburong,4.35,7.7,7,2,IT,International Graduate Studies College,0,Engineering,High,Arts,1,Humanities,Health Sciences,3475,Diploma,91.14,19
STU1098,20,Male,Public,Tutong,6.61,7.01,4,1,Health Sciences,International Graduate Studies College,1,Education,Low,Sports,1,Technology,Business,1053,High School,76.66,8
STU1099,18,Male,Private,Belait,8.38,6.92,8,1,Business,International Graduate Studies College,0,Business,Low,None,0,Science,Health Sciences,2784,Degree,94.03,8
STU1100,21,Male,Private,Brunei-Muara,2.73,3.87,8,1,Business,Politeknik Brunei,1,Health Sciences,Medium,Sports,0,Science,Business,3739,Degree,83.8,15
STU1101,21,Male,Public,Temburong,2.21,5.54,8,4,Health Sciences,International Graduate Studies College,1,Health Sciences,Low,Debate,0,Science,Education,2724,Diploma,98.94,8
STU1102,19,Female,Public,Temburong,7.12,8.02,9,2,Business,Politeknik Brunei,1,IT,Low,None,0,Humanities,Business,1285,Diploma,86.27,11
STU1103,19,Female,Public,Temburong,2.96,4.39,5,2,Health Sciences,Politeknik Brunei,1,IT,Medium,None,0,Science,Business,3454,Diploma,95.01,13
STU1104,19,Female,Private,Belait,4.55,2.76,4,3,Education,International Graduate Studies College,1,Education,Low,None,1,Technology,Engineering,3892,Degree,82.32,5
STU1105,20,Female,Private,Temburong,3.1,3.46,6,4,IT,Micronet International College,1,Business,Medium,Science Fair,0,Technology,IT,3509,High School,77.85,9
STU1106,18,Female,Public,Temburong,5.72,5.05,7,3,Health Sciences,Universiti Brunei Darussalam,0,IT,High,Arts,0,Technology,IT,2643,Masters,76.65,14
STU1107,17,Male,Public,Tutong,3.25,3.16,7,2,Health Sciences,Universiti Brunei Darussalam,1,IT,Low,Sports,1,Business,Engineering,3576,Diploma,94.7,15
STU1108,21,Male,Private,Belait,7.81,6.78,6,2,Engineering,Universiti Brunei Darussalam,0,Engineering,High,None,0,Technology,IT,1648,Diploma,76.65,8
STU1109,19,Female,Private,Temburong,4.61,4.21,9,1,Education,International Graduate Studies College,1,Engineering,High,Arts,1,Science,Education,2140,Degree,99.11,13
STU1110,21,Female,Private,Temburong,3.41,3.87,8,1,Health Sciences,International Graduate Studies College,0,Health Sciences,Low,Science Fair,0,Arts,Business,3742,Diploma,85.58,16
STU1111,21,Male,Private,Brunei-Muara,8.47,6.27,6,2,Education,Micronet International College,0,Business,High,Debate,0,Science,IT,4791,Diploma,75.43,18
STU1112,20,Female,Public,Temburong,5.4,8.45,9,4,Health Sciences,Universiti Brunei Darussalam,1,Health Sciences,Low,None,1,Science,Education,1975,Degree,82.27,8
STU1113,19,Female,Private,Tutong,8.99,6.6,7,2,Health Sciences,Micronet International College,0,IT,Medium,Sports,1,Arts,IT,2364,Masters,88.13,6
STU1114,21,Male,Private,Brunei-Muara,7.44,2.36,4,1,Business,Politeknik Brunei,0,Business,Low,Debate,1,Humanities,IT,4701,High School,77.44,9
STU1115,18,Male,Public,Temburong,7.14,2.32,6,1,IT,Politeknik Brunei,0,Business,Low,Debate,0,Technology,Health Sciences,3126,High School,88.57,16
STU1116,21,Female,Public,Tutong,5.86,4.96,5,3,Health Sciences,Universiti Brunei Darussalam,0,Health Sciences,Low,Sports,0,Arts,Health Sciences,3503,High School,94.11,5
STU1117,17,Male,Public,Temburong,4.28,7.09,4,3,Business,Micronet International College,0,Business,Low,Sports,1,Technology,Education,3682,Degree,95.61,18
STU1118,19,Male,Private,Tutong,7.22,2.44,5,4,Education,Micronet International College,1,Education,High,Debate,1,Arts,IT,1824,High School,87.86,6
STU1119,21,Male,Public,Brunei-Muara,5.17,6.27,8,1,Engineering,International Graduate Studies College,1,Health Sciences,Low,Arts,1,Science,Education,3625,Diploma,87.06,17
STU1120,19,Male,Private,Brunei-Muara,5.14,7.67,6,3,Engineering,Universiti Brunei Darussalam,1,Education,High,Debate,0,Business,Business,4415,Degree,95.73,19
STU1121,17,Female,Public,Tutong,2.63,4.39,7,4,IT,International Graduate Studies College,0,IT,High,Debate,0,Humanities,Health Sciences,2568,Masters,78.01,12
STU1122,21,Female,Private,Brunei-Muara,2.13,4.65,5,2,Health Sciences,Universiti Brunei Darussalam,1,Education,Medium,Arts,0,Arts,Education,1408,Diploma,79.34,10
STU1123,18,Male,Private,Tutong,4.15,3.34,8,2,Business,Universiti Brunei Darussalam,1,Engineering,Low,None,0,Humanities,Health Sciences,3897,Masters,93.39,14
STU1124,21,Female,Public,Brunei-Muara,7.3,6.12,8,2,Business,Universiti Brunei Darussalam,1,Business,High,None,0,Humanities,Business,3178,Masters,83.71,7
STU1125,20,Female,Public,Brunei-Muara,8.14,8.34,4,3,Engineering,Micronet International College,0,Education,High,Sports,1,Business,IT,1800,Masters,94.35,19
STU1126,20,Male,Private,Belait,5.45,4.86,5,3,IT,Micronet International College,0,Education,Medium,Debate,0,Technology,Education,4326,High School,96.85,11
STU1127,18,Male,Public,Temburong,7.98,5.49,5,4,Engineering,Universiti Brunei Darussalam,1,IT,Low,Debate,1,Science,Business,2877,High School,78.26,10
STU1128,18,Female,Private,Temburong,2.98,2.81,8,2,Health Sciences,International Graduate Studies College,1,Business,High,Sports,0,Business,Health Sciences,3110,High School,78.46,5
STU1129,20,Female,Public,Temburong,3.96,3.59,5,1,Health Sciences,Politeknik Brunei,0,IT,High,Sports,0,Business,Education,2876,Degree,96.74,9
STU1130,18,Male,Private,Belait,2.87,2.04,8,2,Health Sciences,Micronet International College,0,Education,Medium,Sports,1,Business,Business,4167,Degree,85.54,18
STU1131,18,Male,Private,Temburong,3.67,3.58,4,3,IT,Micronet International College,0,Health Sciences,High,Arts,1,Arts,Engineering,1054,Degree,76.08,11
STU1132,21,Male,Private,Temburong,6.99,8.56,4,2,Business,Micronet International College,1,IT,Medium,Debate,1,Science,Health Sciences,2426,High School,99.99,11
STU1133,21,Male,Public,Temburong,6.99,6.72,7,1,Health Sciences,International Graduate Studies College,1,IT,Low,None,0,Science,Education,3487,Degree,91.02,10
STU1134,17,Male,Public,Belait,8.18,4.19,6,3,Business,Politeknik Brunei,0,Business,High,Sports,1,Science,Engineering,3882,Masters,99.24,7
STU1135,19,Male,Public,Tutong,5.36,5.63,8,3,Engineering,Politeknik Brunei,0,Business,Low,Arts,1,Humanities,IT,2796,High School,96.31,16
STU1136,21,Female,Private,Temburong,4.84,6.34,8,4,Business,Micronet International College,1,IT,High,Debate,0,Technology,IT,2870,Degree,75.14,11
STU1137,21,Male,Private,Brunei-Muara,8.85,6.34,8,1,Health Sciences,Universiti Brunei Darussalam,0,Engineering,High,Arts,0,Business,Health Sciences,2349,Degree,84.11,12
STU1138,19,Male,Private,Belait,8.31,8.47,8,4,IT,Micronet International College,0,Business,Medium,Science Fair,0,Humanities,IT,4325,Diploma,96.38,12
STU1139,21,Female,Public,Temburong,4.54,6.61,4,1,Education,Politeknik Brunei,0,IT,Low,None,1,Technology,IT,2067,Degree,75.69,8
STU1140,17,Male,Public,Temburong,2.89,8.75,5,3,Engineering,Micronet International College,0,Business,High,Science Fair,0,Technology,Health Sciences,3676,High School,86.91,6
STU1141,21,Male,Public,Belait,5.23,4.93,5,3,Health Sciences,International Graduate Studies College,1,Education,High,None,0,Humanities,Engineering,3166,Masters,84.81,7
STU1142,17,Male,Private,Brunei-Muara,3.96,2.62,5,1,IT,International Graduate Studies College,1,IT,High,Science Fair,1,Business,Health Sciences,4876,Diploma,91.67,5
STU1143,20,Male,Private,Temburong,5.64,2.9,9,2,Business,Universiti Brunei Darussalam,0,Education,Medium,None,1,Science,Health Sciences,2672,High School,78.12,9
STU1144,18,Male,Private,Belait,4.36,5.4,5,1,IT,International Graduate Studies College,0,Business,Low,Arts,0,Science,Education,2108,Masters,83.81,15
STU1145,17,Female,Public,Tutong,7.18,6.24,9,1,Business,Universiti Brunei Darussalam,0,IT,Low,Arts,0,Science,Engineering,3338,High School,93.33,17
STU1146,20,Male,Private,Brunei-Muara,4.74,2.83,9,1,Business,International Graduate Studies College,0,Health Sciences,Medium,Science Fair,1,Science,Health Sciences,1113,Degree,87.6,10
STU1147,21,Male,Private,Belait,3.66,7.53,8,3,Education,Micronet International College,0,Education,High,Sports,1,Science,Engineering,3554,High School,98.6,17
STU1148,18,Male,Private,Tutong,2.17,3.9,5,1,IT,International Graduate Studies College,0,Health Sciences,High,Debate,0,Technology,Education,3223,High School,89.93,19
STU1149,18,Female,Private,Belait,8.81,7.52,7,3,Education,Politeknik Brunei,1,Health Sciences,High,Sports,0,Science,Business,1801,Masters,88.39,10
STU1150,17,Male,Private,Tutong,3.97,4.36,9,1,Education,Universiti Brunei Darussalam,1,Health Sciences,High,Science Fair,0,Humanities,Education,1990,Degree,87.01,5
STU1151,19,Male,Private,Temburong,2.73,8.57,7,2,Business,Micronet International College,1,Health Sciences,Medium,Sports,1,Technology,Health Sciences,2101,High School,82.11,18
STU1152,20,Male,Private,Temburong,4.75,5.32,5,2,Health Sciences,Micronet International College,1,Education,High,Sports,0,Technology,Education,4019,Degree,97.67,11
STU1153,20,Female,Public,Tutong,6.74,3.94,8,3,Business,Universiti Brunei Darussalam,0,IT,High,Arts,0,Technology,IT,2685,High School,97.03,13
STU1154,19,Male,Private,Brunei-Muara,8.48,3.96,4,4,Education,Politeknik Brunei,0,Business,Medium,Sports,0,Arts,Business,4012,Degree,79.76,13
STU1155,20,Female,Public,Temburong,5.58,7.2,6,1,Education,Universiti Brunei Darussalam,1,Health Sciences,Low,Sports,0,Arts,Engineering,1820,Degree,76.39,10
STU1156,18,Male,Private,Tutong,8.51,2.77,6,3,Health Sciences,International Graduate Studies College,0,Engineering,High,Debate,1,Humanities,Education,2111,Degree,96.04,11
STU1157,18,Male,Private,Brunei-Muara,7.36,8.94,9,2,Engineering,Micronet International College,0,Education,Medium,None,0,Arts,Business,1995,High School,94.93,13
STU1158,19,Male,Private,Tutong,3.83,3.31,6,1,Education,Universiti Brunei Darussalam,1,Education,Low,Arts,0,Business,Health Sciences,2692,Degree,86.21,10
STU1159,17,Male,Public,Tutong,3.72,5.88,7,3,IT,Politeknik Brunei,0,Health Sciences,High,Science Fair,0,Science,Business,1282,Degree,86.95,9
STU1160,20,Male,Public,Brunei-Muara,7.64,8.83,7,3,Health Sciences,Micronet International College,1,Business,High,Sports,0,Technology,Engineering,4825,Masters,98.48,19
STU1161,21,Male,Public,Belait,5.77,7.68,5,1,Business,International Graduate Studies College,0,Education,Medium,None,1,Science,Health Sciences,4727,Diploma,87.53,18
STU1162,20,Female,Public,Brunei-Muara,5.33,2.91,7,2,Education,Micronet International College,0,IT,High,Arts,0,Technology,Education,2086,Diploma,80.8,17
STU1163,19,Female,Public,Belait,4.69,7.79,8,2,Engineering,Micronet International College,0,Engineering,Medium,None,1,Arts,Engineering,2920,Diploma,93.09,8
STU1164,21,Male,Private,Brunei-Muara,5.35,7.38,4,1,Business,Politeknik Brunei,1,IT,Medium,Science Fair,0,Science,Education,1162,High School,88.37,15
STU1165,20,Female,Private,Tutong,4.86,6.11,5,1,Education,Politeknik Brunei,1,Health Sciences,High,Arts,0,Technology,Business,2667,High School,94.67,6
STU1166,20,Female,Private,Brunei-Muara,8.18,3.17,7,1,Education,Politeknik Brunei,0,Business,Medium,Arts,1,Business,Engineering,3155,High School,76.09,6
STU1167,21,Female,Private,Temburong,2.41,8.85,7,4,IT,Micronet International College,1,Health Sciences,High,Debate,0,Humanities,IT,3940,High School,97.17,7
