Programs,O_Level_Credits,A_Level_Passes,Entry Requirements,,,
HNTec in Building Services Engineering,1,,"1 subject Grade 1-6/A-C from
• Mathematics D
• IGCSE Mathematics
• Additional Mathematics","1 subject Grade 1-8/A-E from
• English Language
• IGCSE English as A Second Language","1 subject Grade 1-8/A-E from
• Physics
• Combined Science
• Engineering Science
• Science (Physics,Chemistry)",
HNTec in Instrumentation and Control Engineering,3,,"1 subject Grade 1-6/A-C from
• Mathematics D
• Additional Mathematics
• IGCSE Mathematics","1 subject Grade 1-6/A-C from
• English Language
• IGCSE English as A Second Language","1 subject Grade 1-6/A-C from
• Physics
• Combined Science
• Engineering Science
• Science (Physics,Chemistry)",
HNTec in Mechanical Engineering,3,,"1 subject Grade 1-6/A-C from
• Mathematics D
• IGCSE Mathematics
• Additional Mathematics","1 subject from
• (Grade 1-6) English Language
• (Grade A-B) IGCSE English as A Second Language","1 subject Grade 1-6/A-C from
• Physics
• Combined Science
• Engineering Science
• Science (Physics,Chemistry)",
HNTec in Plant Engineering,3,,"1 subject Grade 1-6/A-C from
• Mathematics D
• Additional Mathematics
• IGCSE Mathematics","1 subject Grade 1-6/A-C from
• English Language
• IGCSE English as A Second Language","1 subject Grade 1-6/A-C from
• Physics
• Combined Science
• Engineering Science
• Science (Physics,Chemistry)",
HNTec Apprenticeship in Refrigeration And Air Conditioning Services,1,,"1 subject Grade 1-8/A-E from
• Mathematics D
• Additional Mathematics
• IGCSE Mathematics","1 subject Grade 1-8/A-E from
• English medium subjects","1 subject Grade 1-6/A-C from
• Physics
• Combined Science
• Engineering Science",
NTec in Industrial Equipment Maintenance,,,"2 subjects Grade 1-8/A-E from
• Mathematics D
• IGCSE Mathematics
• Additional Mathematics
• English Language
• IGCSE English as A Second Language
• Combined Science
• Engineering Science
• Physics
• Chemistry
• Biology
• Design and Technology
• Geography
• Metal Work
• Technical Drawing
• Geometrical & Mechanical Drawing",,,
NTec in Manufacturing and Maintenance,,,"2 subjects Grade 1-8/A-E from
• Mathematics D
• Additional Mathematics
• English Language
• IGCSE English as A Second Language
• Combined Science
• Engineering Science
• Physics
• Chemistry
• Biology
• Design and Technology
• Geography
• Metal Work
• Technical Drawing
• Geometrical & Mechanical Drawing",,,
NTec in Manufacturing and Maintenance,,,"2 subjects Grade 1-8/A-E from
• Mathematics D
• Additional Mathematics
• English Language
• IGCSE English as A Second Language
• Combined Science
• Engineering Science
• Physics
• Chemistry
• Biology
• Design and Technology
• Geography
• Metal Work
• Technical Drawing
• Geometrical & Mechanical Drawing",,,
HNTec in Agrotechnology,3,,"3 subjects Grade 1-6/A-C from
• English medium subjects",,,
HNTec in Laboratory Science,3,,"1 subject Grade 1-6/A-C from
• Biology
• Physics
• Chemistry
• (Grade 1-3) Combined Science","1 subject Grade 1-6/A-C from
• Mathematics D
• Additional Mathematics
• (Grade A-B) IGCSE Mathematics","1 subject Grade 1-6/A-C from
• English medium subjects",
HNTec in Pharmacy Technician,3,,"1 subject Grade 1-6/A-C from
• (Grade 1-3) Combined Science
• Biology
• Physics
• Chemistry","1 subject Grade 1-6/A-C from
• Mathematics D
• Additional Mathematics
• (Grade A-B) IGCSE Mathematics","1 subject Grade 1-6/A-C from
• English medium subjects",
NTec in Agri-Industry,,,Completion of Year 10 (Express) / Year 11 of Secondary education,,,
NTec in Aquaculture,,,Completion of Year 10 (Express) / Year 11 of Secondary education,,,
NTec in Assistant Nurse (Dental),,,"1 subject Grade 1-7/A-D from
• Biology
• Chemistry
• Physics
• Combined Science","2 subjects Grade 1-7/A-D from
• English medium subjects",,
NTec in Assistant Nurse (General Nursing),,,"1 subject Grade 1-7/A-D from
• Biology
• Chemistry
• Physics
• Combined Science","2 subjects Grade 1-7/A-D from
• English medium subjects",,
NTec in Food Processing,,,Completion of Year 10 (Express) / Year 11 of Secondary education,,,
