Student_ID,Gender,Age,School_Type,District,Family_Income,Parent_Education_Level,Preferred_Program,Recommended_Program,Applied_Institution,Enrolled,Success_Level,Previous_Achievements,Extra_Curricular,Interest_Areas,Attendance,Study_Hours,O_Level_Mathematics,O_Level_English,O_Level_Malay_Language,O_Level_Islamic_Religious_Knowledge,O_Level_Chemistry,O_Level_Biology,O_Level_Physics,O_Level_Combined_Science,O_Level_Commerce,O_Level_Economics,O_Level_Computer_Science,O_Level_Additional_Maths,A_Level_Mathematics,A_Level_English,A_Level_Chemistry,A_Level_Biology,A_Level_Physics,A_Level_Commerce,A_Level_Economics,A_Level_Computer_Science,O_Level_Credits,A_Level_Credits,O_Level_Results,A_Level_Results
STU1018,Female,16,Private,Tutong,8005,Postgraduate,Health Sciences,Engineering,International Graduate Studies College,0,Low,Sports,0,Arts,91.44,5,B,C,A,C,E,C,E,B,A,D,A,A,,,,,,,,,9,0,2.43,5.68
STU1019,Male,20,International,Brunei-Muara,3942,Masters Degree,IT,Health Sciences,International Graduate Studies College,1,Low,Science Fair,0,Arts,87.3,8,B,E,C,D,C,B,D,B,C,U,C,E,,,,,D,,D,,7,0,8.45,3.45
STU1020,Male,16,International,Belait,1527,Postgraduate,Business,Health Sciences,Politeknik Brunei,1,High,None,1,Humanities,79.71,11,B,C,E,D,E,C,C,U,A,B,D,D,,,,C,,,,,6,1,6.54,8.74
STU1021,Female,19,Public,Temburong,4952,Masters Degree,Business,Business,International Graduate Studies College,1,High,Sports,0,Humanities,84.54,12,D,D,U,B,B,B,B,D,B,B,C,U,,,,,,,,,7,0,2.97,8
STU1022,Female,19,International,Tutong,8455,Masters Degree,Education,Education,Micronet International College,1,High,Arts,1,Technology,86.39,5,E,U,B,U,C,B,E,U,D,C,A,C,,,,,,E,B,C,6,2,6.67,6.58
STU1023,Male,16,International,Temburong,5552,Masters Degree,Engineering,Business,International Graduate Studies College,0,High,Sports,1,Business,82.48,11,A,E,B,A,C,C,U,E,B,B,A,A,A,,,,,,,E,9,1,4.86,8.92
STU1024,Female,19,International,Brunei-Muara,8020,Postgraduate,Health Sciences,Education,Politeknik Brunei,0,Low,None,1,Humanities,77.94,13,A,A,C,E,B,D,E,B,C,U,U,U,,,,,,,,,6,0,7.6,8.33
STU1025,Female,20,Public,Belait,6882,Postgraduate,Health Sciences,Business,Micronet International College,1,High,None,1,Business,80.93,15,A,A,D,C,C,E,D,A,C,C,C,E,,,E,,,,,E,8,0,7.53,8.31
STU1026,Male,20,Public,Temburong,3458,Diploma,Education,Health Sciences,Universiti Brunei Darussalam,0,High,None,1,Science,79.09,15,A,E,D,E,A,D,A,C,D,A,B,D,,,,,,,,,6,0,3.74,5.14
STU1027,Male,20,International,Brunei-Muara,7162,Degree,Health Sciences,Education,International Graduate Studies College,1,Low,Debate,0,Arts,76.64,11,D,B,B,E,B,U,C,E,A,C,D,D,,,A,U,,,,B,6,2,2.39,7.49
STU1028,Female,18,International,Tutong,6535,Diploma,Engineering,IT,International Graduate Studies College,0,Medium,Debate,0,Science,79.31,18,E,U,A,D,D,B,C,E,E,D,A,C,E,,U,,,,,,5,0,8.13,5.17
STU1029,Female,18,Private,Tutong,7014,Degree,Engineering,Health Sciences,Universiti Brunei Darussalam,1,Medium,Sports,0,Business,87.48,13,B,E,D,D,U,D,C,E,B,B,U,E,,,,,,,,,4,0,3.17,7.99
STU1030,Female,20,Private,Tutong,8165,Postgraduate,Education,Education,Politeknik Brunei,0,Medium,Sports,0,Humanities,90.57,7,U,A,D,U,E,C,U,B,B,U,C,A,,,,,,,,,6,0,4.56,6.56
STU1031,Male,16,Public,Temburong,6675,Postgraduate,Health Sciences,Education,International Graduate Studies College,1,High,None,0,Technology,96.97,16,B,B,U,B,A,E,B,D,B,B,C,D,A,D,,,,,,,8,1,3.19,7.84
STU1032,Male,17,Private,Temburong,6442,Masters Degree,Education,IT,Micronet International College,1,High,Science Fair,0,Business,92.9,13,C,B,A,U,E,D,C,E,B,E,A,U,,,U,,,,,,6,0,6.49,8.48
STU1033,Male,19,International,Tutong,5927,Postgraduate,Engineering,Education,Micronet International College,1,High,Sports,1,Arts,94.83,18,E,U,D,D,A,E,C,A,D,E,D,C,,,,,,D,,,4,0,4.47,4.34
STU1034,Male,19,Public,Tutong,3406,Postgraduate,IT,Business,Universiti Brunei Darussalam,0,Medium,None,0,Technology,83.09,13,E,A,U,B,E,C,D,B,A,E,U,A,,,,,,,,,6,0,8.09,8.39
STU1035,Male,19,Private,Brunei-Muara,8402,Postgraduate,IT,Education,Politeknik Brunei,0,Medium,None,0,Technology,94.65,13,E,E,C,B,E,U,U,C,A,B,B,C,,,,,,,,,7,0,2.2,7.63
STU1036,Female,20,International,Belait,5725,Masters Degree,Engineering,Engineering,Politeknik Brunei,0,High,Debate,0,Humanities,92.89,16,C,B,D,A,U,E,B,E,A,U,A,D,,,U,C,,,,,6,1,3.89,8.71
STU1037,Female,20,Private,Tutong,1326,Masters Degree,IT,Education,Micronet International College,1,Low,Science Fair,0,Humanities,80.56,12,E,E,U,U,D,C,D,C,C,B,B,A,,,,,,,,,6,0,8.21,2.47
STU1038,Female,16,Public,Belait,6314,Diploma,Education,Education,Micronet International College,0,Medium,Debate,1,Technology,85.46,5,A,A,B,C,D,E,B,C,D,U,C,E,,,,,D,,,,7,0,3.8,4.35
STU1039,Male,19,International,Tutong,6751,Masters Degree,Education,IT,Universiti Brunei Darussalam,1,Medium,None,0,Business,90.44,8,A,D,U,A,C,C,E,U,B,U,A,C,,,,,,B,,A,7,2,5.27,6.74
STU1040,Female,18,International,Tutong,1897,Postgraduate,IT,Health Sciences,Universiti Brunei Darussalam,1,Medium,Sports,1,Science,80.98,7,C,D,D,E,C,D,D,A,U,A,A,B,,,,,,U,,,6,0,3.62,5.54
STU1041,Female,18,Public,Tutong,9840,Postgraduate,Business,Engineering,Universiti Brunei Darussalam,1,Medium,Arts,1,Technology,89.66,14,A,B,B,D,U,C,E,C,C,C,C,B,,,,,,,A,C,9,2,2.44,7.76
STU1042,Male,17,Public,Tutong,6744,Postgraduate,Business,Engineering,Politeknik Brunei,0,Low,Sports,1,Business,94.33,13,B,C,U,A,D,A,C,U,C,D,A,U,,,,C,B,,,,7,2,6.12,6.07
STU1043,Male,19,Private,Belait,4585,Diploma,Business,Engineering,Universiti Brunei Darussalam,1,Low,Arts,1,Humanities,86.87,19,A,U,B,A,D,C,U,B,D,C,E,U,,,,D,,,,,6,0,6.98,2.61
STU1044,Male,19,International,Brunei-Muara,8367,Diploma,Health Sciences,Health Sciences,Micronet International College,0,Low,None,0,Technology,87.19,13,C,E,C,A,C,E,C,A,D,U,U,A,A,,B,,,,,,7,2,5.85,2.94
STU1045,Female,18,International,Tutong,4386,Masters Degree,Engineering,Health Sciences,Universiti Brunei Darussalam,1,Medium,Arts,1,Technology,85.77,15,B,A,U,A,D,C,D,E,B,C,E,U,,,,,,,,,6,0,3.01,8.61
STU1046,Male,19,Public,Belait,9178,Postgraduate,Education,Engineering,Universiti Brunei Darussalam,1,Low,Sports,0,Arts,87.25,12,A,E,E,D,B,E,D,C,C,C,C,E,A,,,,C,,,,6,2,2.1,2.69
STU1047,Male,19,Private,Temburong,3265,Masters Degree,Engineering,IT,Universiti Brunei Darussalam,1,High,None,0,Arts,91.06,16,B,A,B,A,C,A,D,C,A,D,D,A,A,,B,,,,,,9,2,8.66,6.69
STU1048,Female,17,Private,Temburong,1391,Degree,Education,Business,Micronet International College,1,Medium,Sports,1,Science,85.72,9,E,E,D,U,E,E,B,B,U,D,B,C,,B,,,B,,,A,4,3,7.08,2.16
STU1049,Male,19,Private,Brunei-Muara,3465,Postgraduate,Education,Health Sciences,Micronet International College,1,Medium,Sports,1,Technology,81.88,11,B,D,A,U,U,D,A,C,E,D,A,D,,A,,,,D,,E,5,1,3.25,8.36
STU1050,Female,19,Public,Brunei-Muara,3089,Diploma,Health Sciences,Health Sciences,International Graduate Studies College,0,Low,Debate,0,Technology,91.61,11,U,D,E,B,A,E,U,B,C,A,D,B,,,,,,,,,6,0,3.29,3.13
STU1051,Male,16,Private,Temburong,2678,Degree,Business,Engineering,Micronet International College,1,High,Debate,0,Humanities,94.78,9,D,E,U,A,B,B,U,C,D,B,B,D,C,U,,,,,,,6,1,7.19,6.32
STU1052,Female,18,International,Temburong,9646,Postgraduate,Health Sciences,Business,Politeknik Brunei,0,Medium,Sports,1,Arts,88.75,5,A,U,E,A,D,A,E,C,E,C,U,C,,,,,,,,U,6,0,2.68,3.24
STU1053,Male,19,International,Tutong,9152,Degree,IT,Engineering,Micronet International College,1,Low,None,1,Humanities,79,9,C,U,U,C,C,B,U,C,A,D,A,A,,,D,E,,D,,,8,0,5.86,7.34
STU1054,Male,16,Private,Belait,9231,Diploma,Engineering,Engineering,Micronet International College,1,Medium,Arts,1,Humanities,77.06,17,D,D,B,U,B,B,B,A,E,C,A,A,,,,,,,,,8,0,4.18,7.81
STU1055,Male,20,Private,Tutong,1176,Postgraduate,Engineering,Business,Universiti Brunei Darussalam,1,Low,Science Fair,0,Business,87.89,15,B,A,C,B,B,D,D,E,E,C,E,A,,,,,,,,,7,0,2.33,6.95
STU1056,Male,20,Private,Temburong,4643,Masters Degree,Business,IT,Micronet International College,0,High,Science Fair,1,Science,93.98,9,A,C,U,C,D,D,B,E,B,U,B,B,E,,,,E,,,C,7,1,5.25,3.98
STU1057,Female,20,International,Belait,3171,Postgraduate,Health Sciences,Health Sciences,Micronet International College,1,High,Debate,1,Humanities,84.19,9,B,A,U,B,A,U,E,A,C,E,U,C,,,A,,U,,,,7,1,2.77,5.61
STU1058,Male,18,International,Brunei-Muara,7391,Diploma,Education,Business,Politeknik Brunei,0,High,Debate,1,Science,77,10,U,A,U,B,C,D,D,B,E,B,B,B,,,,,,,,,7,0,5.3,7
STU1059,Male,19,Public,Brunei-Muara,5461,Masters Degree,Engineering,Engineering,Politeknik Brunei,0,High,None,0,Technology,95.89,16,C,B,A,A,D,C,A,U,A,E,E,A,,,,,,,,,8,0,4.02,7.86
STU1060,Male,19,Public,Temburong,9903,Degree,Education,IT,Universiti Brunei Darussalam,0,Medium,Debate,1,Science,94.1,6,U,A,A,D,A,B,E,D,U,E,A,E,,,,,,,,A,5,1,8.03,6.35
STU1061,Male,16,International,Temburong,9255,Degree,Engineering,Engineering,Micronet International College,0,High,Debate,1,Technology,95.85,18,A,D,U,D,B,U,B,B,C,D,E,U,U,U,,,,,,,5,0,7.49,6.46
STU1062,Female,20,Public,Temburong,1626,Diploma,Education,Business,Universiti Brunei Darussalam,1,Low,Sports,1,Technology,90.62,18,U,E,C,B,D,E,D,E,C,A,D,E,,,,,,,,,4,0,5.53,5.86
STU1063,Male,17,International,Temburong,9698,Masters Degree,Business,Engineering,Micronet International College,0,High,Arts,1,Business,97.3,12,A,B,B,D,U,A,C,A,D,U,A,E,,,,,,,,,7,0,6.22,8.95
STU1064,Female,20,International,Brunei-Muara,3572,Degree,Health Sciences,Engineering,Politeknik Brunei,1,High,Debate,1,Humanities,86.22,9,E,D,D,C,D,A,A,E,C,A,U,A,,,,,,,A,,6,1,2.08,2.88
STU1065,Female,17,Public,Temburong,1767,Degree,Engineering,Business,Politeknik Brunei,0,Medium,Sports,1,Technology,95.71,19,C,B,E,B,A,C,D,D,C,A,A,U,,,,,,,,,8,0,4.09,3.89
STU1066,Male,17,Public,Tutong,6133,Diploma,Business,Business,International Graduate Studies College,1,Low,None,0,Business,96.72,5,D,E,U,C,U,E,C,D,U,D,B,B,,,,,,,,,4,0,4.45,3.76
STU1067,Female,18,Public,Brunei-Muara,9477,Masters Degree,Health Sciences,IT,International Graduate Studies College,0,Low,Science Fair,1,Technology,77.25,13,B,E,C,C,C,D,D,E,E,A,A,A,,,,,,,,,7,0,6.55,6.76
STU1068,Male,17,International,Brunei-Muara,8962,Diploma,Education,Engineering,International Graduate Studies College,0,High,Debate,0,Arts,83.24,6,B,C,D,D,U,U,U,B,C,B,U,D,E,,,U,,,,B,5,1,2.6,7.54
STU1069,Male,17,Private,Brunei-Muara,5080,Diploma,Engineering,Engineering,Universiti Brunei Darussalam,0,Low,Debate,1,Humanities,77.97,15,D,A,B,D,B,B,C,B,B,B,U,A,,,,,,,,,9,0,8.14,5.8
STU1070,Female,20,Private,Tutong,9432,Postgraduate,Engineering,Education,International Graduate Studies College,0,Low,None,0,Humanities,86.55,5,E,C,D,E,C,E,E,U,A,C,C,C,,,D,,,E,,,6,0,4.83,5.04
STU1071,Male,18,Public,Brunei-Muara,1744,Diploma,Engineering,IT,International Graduate Studies College,1,Low,None,0,Humanities,90.71,9,B,B,C,U,B,E,A,E,E,U,U,U,,,,,,,,,5,0,8.74,5.27
STU1072,Female,19,Public,Brunei-Muara,6973,Degree,Health Sciences,Business,International Graduate Studies College,1,Low,Debate,1,Business,85.75,7,U,E,D,A,E,A,B,C,C,C,B,U,,,,,,,,,7,0,8.6,4.84
STU1073,Male,18,International,Belait,3872,Degree,Health Sciences,Health Sciences,Politeknik Brunei,1,Medium,Sports,0,Humanities,79.61,13,A,B,B,B,C,C,D,D,C,C,A,A,,,,C,,,U,,10,1,3.18,8.73
STU1074,Male,19,International,Belait,7302,Degree,Engineering,Education,Universiti Brunei Darussalam,1,High,Arts,0,Humanities,84.99,19,A,A,U,E,E,E,A,D,D,C,E,C,,,E,,,,,,5,0,5.24,8.68
STU1075,Female,17,Public,Belait,1346,Postgraduate,Health Sciences,Education,Micronet International College,1,Low,Debate,1,Humanities,82.65,15,E,D,E,A,U,D,A,B,A,C,B,B,,,,,,,,,7,0,4.08,8.96
STU1076,Female,20,International,Tutong,7132,Postgraduate,Business,Engineering,Politeknik Brunei,0,Medium,Sports,1,Technology,79.11,15,D,E,D,U,C,U,D,D,U,B,A,A,,,,,,,,,4,0,7.75,5.03
STU1077,Male,19,Public,Tutong,2174,Masters Degree,Engineering,Engineering,Universiti Brunei Darussalam,0,High,Science Fair,0,Arts,82.71,7,C,U,C,A,C,E,D,B,E,C,D,B,,,,,,A,,U,7,1,5.87,3.52
STU1078,Male,18,Public,Brunei-Muara,5764,Degree,Business,IT,Universiti Brunei Darussalam,0,Medium,Arts,0,Business,83.67,5,C,U,B,U,B,B,A,A,E,U,E,U,,,,,,,,,6,0,7.39,8.13
STU1079,Male,19,Public,Temburong,7451,Masters Degree,Business,IT,Politeknik Brunei,1,Low,Sports,0,Arts,82.33,17,B,E,E,C,D,D,U,A,B,B,U,E,,,,,,,,,5,0,5.01,3.2
STU1080,Female,17,Public,Tutong,5795,Postgraduate,Business,Business,International Graduate Studies College,1,Medium,Arts,0,Humanities,82.62,17,B,E,E,U,A,E,E,U,D,A,D,C,,,,,,,,,4,0,2.06,3.55
STU1081,Female,18,International,Temburong,8867,Diploma,Education,Engineering,Micronet International College,1,High,None,1,Arts,96.21,19,A,U,B,A,D,B,E,B,B,C,A,B,,,,,,,,,9,0,2.65,4.65
STU1082,Female,20,International,Tutong,7132,Masters Degree,IT,Engineering,Politeknik Brunei,1,High,Sports,1,Science,85.62,18,D,C,C,C,E,D,U,D,U,A,B,A,,,,,,,,,6,0,8.76,5.68
STU1083,Male,19,International,Temburong,2271,Masters Degree,Health Sciences,Education,Universiti Brunei Darussalam,0,Low,Science Fair,0,Science,94.84,15,C,D,A,D,A,D,U,C,A,U,A,D,,,A,,E,,,,6,1,2.03,3.36
STU1084,Female,18,Private,Brunei-Muara,2172,Diploma,IT,Education,International Graduate Studies College,0,Low,Science Fair,1,Technology,96.15,8,D,A,A,U,C,C,E,B,B,C,C,B,,C,,,,,,,9,1,4.24,2.12
STU1085,Female,20,Private,Temburong,1294,Degree,Engineering,Engineering,Universiti Brunei Darussalam,0,Low,None,1,Arts,99.29,18,E,A,E,U,U,A,A,U,C,E,C,U,,,,,,,,,5,0,6.5,4.28
STU1086,Female,20,Private,Brunei-Muara,9082,Degree,IT,IT,Politeknik Brunei,0,Medium,None,0,Technology,76.84,14,A,D,C,A,B,U,C,C,A,E,B,D,,,,,,,,,8,0,7.45,8.6
STU1087,Male,18,Public,Tutong,4750,Diploma,Business,Health Sciences,International Graduate Studies College,0,High,Science Fair,1,Arts,99.28,5,D,B,U,D,B,E,E,C,U,A,D,E,D,,,,,U,,,4,0,5.89,4.64
STU1088,Male,17,Private,Belait,4429,Diploma,Engineering,Health Sciences,Micronet International College,1,High,Arts,1,Science,84.7,9,U,E,C,A,C,D,U,D,A,D,C,A,,,,,,,,,6,0,7.16,5.25
STU1089,Male,18,International,Brunei-Muara,1959,Diploma,Engineering,IT,Universiti Brunei Darussalam,1,Low,Science Fair,1,Business,76.58,8,B,A,A,B,U,E,C,U,E,C,U,U,,,,,,,,,6,0,7.18,8.9
STU1090,Female,20,International,Belait,4778,Masters Degree,Engineering,Engineering,Politeknik Brunei,1,Low,None,1,Business,97.42,5,A,U,E,A,C,C,U,E,B,E,A,C,,,,,,,,,7,0,5.82,7.16
STU1091,Female,20,Public,Temburong,8737,Masters Degree,IT,Engineering,International Graduate Studies College,1,Medium,Science Fair,0,Technology,81.13,8,C,D,E,C,B,U,B,U,A,E,C,A,,,,,,,,,7,0,6.05,3.41
STU1092,Female,20,International,Tutong,4480,Postgraduate,Engineering,IT,Politeknik Brunei,0,High,Science Fair,0,Business,80.24,7,U,C,A,E,A,U,D,B,C,D,C,A,,,,,,,,,7,0,8.64,2.51
STU1093,Female,20,International,Tutong,6486,Postgraduate,IT,Education,Micronet International College,1,Medium,Debate,0,Science,82.49,14,B,B,C,E,A,A,U,E,A,C,D,E,,,,,,,,,7,0,6.67,8.31
STU1094,Female,17,International,Brunei-Muara,7748,Postgraduate,Business,Education,Micronet International College,1,Low,Debate,0,Science,79.9,7,E,E,D,C,D,U,B,C,U,A,B,C,,,,,,,,,6,0,2.68,4.76
STU1095,Male,18,Public,Belait,4882,Degree,Education,Education,International Graduate Studies College,0,Low,Arts,1,Technology,91.27,8,B,B,B,A,A,E,E,A,B,D,E,C,,,,,,,,,8,0,5.96,4.57
STU1096,Male,18,International,Belait,9745,Postgraduate,Health Sciences,Education,Universiti Brunei Darussalam,0,High,Science Fair,1,Business,91.37,6,C,B,C,U,B,C,C,C,B,U,A,D,,,,,,,,,9,0,7.06,2.43
STU1097,Male,16,International,Temburong,5752,Postgraduate,IT,Health Sciences,International Graduate Studies College,0,High,Arts,1,Humanities,91.14,19,D,E,A,B,A,E,A,B,D,D,U,D,,,B,,,C,,,5,2,4.35,7.7
STU1098,Male,18,Private,Temburong,7078,Masters Degree,Health Sciences,Business,International Graduate Studies College,1,Low,Sports,1,Technology,76.66,8,U,D,B,C,C,B,E,E,U,D,B,A,,,,,,,,,6,0,6.61,7.01
STU1099,Male,17,Public,Temburong,5864,Postgraduate,Business,Health Sciences,International Graduate Studies College,0,Low,None,0,Science,94.03,8,B,U,A,C,A,C,U,B,B,A,U,E,,,,B,D,C,,,8,2,8.38,6.92
STU1100,Female,16,Public,Belait,7540,Masters Degree,Business,Business,Politeknik Brunei,1,Medium,Sports,0,Science,83.8,15,D,B,U,E,E,D,U,A,B,D,U,A,,,,,,,C,,4,1,2.73,3.87
STU1101,Female,17,Private,Temburong,8090,Degree,Health Sciences,Education,International Graduate Studies College,1,Low,Debate,0,Science,98.94,8,A,E,C,D,A,B,B,E,U,C,D,E,,,C,,,C,,E,6,2,2.21,5.54
STU1102,Male,19,International,Belait,6611,Postgraduate,Business,Business,Politeknik Brunei,1,Low,None,0,Humanities,86.27,11,B,D,C,A,C,E,E,B,C,D,U,B,,,,,,,,,7,0,7.12,8.02
STU1103,Female,19,International,Brunei-Muara,6007,Diploma,Health Sciences,Business,Politeknik Brunei,1,Medium,None,0,Science,95.01,13,C,C,E,B,D,A,A,C,C,A,A,U,,D,,,E,,,,9,0,2.96,4.39
STU1104,Female,19,Private,Brunei-Muara,8732,Diploma,Education,Engineering,International Graduate Studies College,1,Low,None,1,Technology,82.32,5,C,D,E,C,C,B,B,D,C,U,U,E,,,,,,,,,6,0,4.55,2.76
STU1105,Female,20,Private,Belait,4336,Degree,IT,IT,Micronet International College,1,Medium,Science Fair,0,Technology,77.85,9,E,U,B,B,E,E,A,B,C,D,U,C,,,,,D,,D,A,6,1,3.1,3.46
STU1106,Male,20,Public,Tutong,6102,Masters Degree,Health Sciences,IT,Universiti Brunei Darussalam,0,High,Arts,0,Technology,76.65,14,D,A,B,D,U,D,C,A,A,A,C,U,,,,,,,,,7,0,5.72,5.05
STU1107,Male,19,International,Tutong,9391,Masters Degree,Health Sciences,Engineering,Universiti Brunei Darussalam,1,Low,Sports,1,Business,94.7,15,C,E,U,C,U,D,A,A,C,A,C,U,,,,,,,,,7,0,3.25,3.16
STU1108,Female,16,Public,Tutong,3573,Diploma,Engineering,IT,Universiti Brunei Darussalam,0,High,None,0,Technology,76.65,8,E,E,B,E,B,E,E,U,E,C,A,A,,,,,D,,,,5,0,7.81,6.78
STU1109,Female,17,Private,Belait,1303,Masters Degree,Education,Education,International Graduate Studies College,1,High,Arts,1,Science,99.11,13,A,A,E,C,U,D,D,C,E,B,D,A,,,,,,B,D,,6,1,4.61,4.21
STU1110,Female,17,Public,Brunei-Muara,2353,Postgraduate,Health Sciences,Business,International Graduate Studies College,0,Low,Science Fair,0,Arts,85.58,16,B,E,B,A,E,D,A,C,A,D,D,C,,,D,,,,,,7,0,3.41,3.87
STU1111,Male,20,Private,Tutong,3388,Postgraduate,Education,IT,Micronet International College,0,High,Debate,0,Science,75.43,18,U,D,E,U,U,D,B,A,B,U,D,A,,,,,,,,,4,0,8.47,6.27
STU1112,Female,16,International,Belait,5531,Masters Degree,Health Sciences,Education,Universiti Brunei Darussalam,1,Low,None,1,Science,82.27,8,U,E,D,E,E,C,C,B,B,A,C,E,A,,C,,,,A,,6,3,5.4,8.45
STU1113,Female,18,Private,Temburong,9327,Degree,Health Sciences,IT,Micronet International College,0,Medium,Sports,1,Arts,88.13,6,C,U,A,A,C,B,A,A,C,C,U,U,,,,,,,,,9,0,8.99,6.6
STU1114,Female,19,Private,Brunei-Muara,6985,Postgraduate,Business,IT,Politeknik Brunei,0,Low,Debate,1,Humanities,77.44,9,D,C,C,D,A,U,D,A,U,C,A,D,,,U,,,U,,D,6,0,7.44,2.36
STU1115,Female,19,Public,Temburong,2256,Masters Degree,IT,Health Sciences,Politeknik Brunei,0,Low,Debate,0,Technology,88.57,16,E,B,A,B,B,U,D,U,A,C,E,C,,,,,,,,,7,0,7.14,2.32
STU1116,Male,19,International,Brunei-Muara,7234,Masters Degree,Health Sciences,Health Sciences,Universiti Brunei Darussalam,0,Low,Sports,0,Arts,94.11,5,A,B,U,E,B,D,B,E,U,E,E,E,,,,,,,,,4,0,5.86,4.96
STU1117,Female,18,Public,Tutong,7960,Diploma,Business,Education,Micronet International College,0,Low,Sports,1,Technology,95.61,18,U,E,D,A,B,C,A,U,A,E,C,U,,D,,,A,,,,6,1,4.28,7.09
STU1118,Male,17,Public,Belait,7477,Masters Degree,Education,IT,Micronet International College,1,High,Debate,1,Arts,87.86,6,B,U,B,E,B,D,E,U,C,D,D,A,,,,,,,,,5,0,7.22,2.44
